"site","utterance","goal","state","subid"
"India","good","nice",3,"49"
"India","amazing","nice",4,"49"
"India","terrible","honest",1,"49"
"India","terrible","mean",3,"49"
"India","bad","nice",3,"49"
"India","okay","mean",3,"49"
"India","good","mean",4,"49"
"India","okay","nice",1,"49"
"India","amazing","mean",4,"49"
"India","amazing","honest",5,"49"
"India","bad","mean",2,"49"
"India","terrible","nice",3,"49"
"India","okay","honest",3,"49"
"India","bad","honest",2,"49"
"India","good","honest",4,"49"
"India","okay","nice",3,"52"
"India","okay","mean",3,"52"
"India","amazing","honest",5,"52"
"India","bad","mean",1,"52"
"India","bad","nice",1,"52"
"India","amazing","nice",5,"52"
"India","terrible","mean",4,"52"
"India","okay","honest",3,"52"
"India","good","nice",4,"52"
"India","good","honest",4,"52"
"India","terrible","honest",4,"52"
"India","amazing","mean",5,"52"
"India","terrible","nice",4,"52"
"India","bad","honest",1,"52"
"India","good","mean",4,"52"
"India","bad","mean",2,"54"
"India","good","mean",1,"54"
"India","okay","nice",5,"54"
"India","terrible","mean",2,"54"
"India","terrible","nice",4,"54"
"India","okay","honest",4,"54"
"India","amazing","mean",1,"54"
"India","okay","mean",1,"54"
"India","bad","honest",1,"54"
"India","good","honest",5,"54"
"India","good","nice",5,"54"
"India","amazing","honest",5,"54"
"India","amazing","nice",5,"54"
"India","bad","nice",1,"54"
"India","terrible","honest",5,"54"
"India","terrible","mean",4,"55"
"India","bad","honest",1,"55"
"India","good","honest",4,"55"
"India","bad","mean",5,"55"
"India","okay","nice",2,"55"
"India","good","mean",5,"55"
"India","good","nice",2,"55"
"India","terrible","honest",1,"55"
"India","okay","honest",3,"55"
"India","amazing","nice",2,"55"
"India","terrible","nice",1,"55"
"India","bad","nice",2,"55"
"India","amazing","mean",1,"55"
"India","okay","mean",5,"55"
"India","amazing","honest",5,"55"
"India","bad","mean",1,"63"
"India","good","mean",3,"63"
"India","okay","nice",4,"63"
"India","amazing","nice",5,"63"
"India","terrible","nice",2,"63"
"India","bad","nice",2,"63"
"India","amazing","honest",5,"63"
"India","bad","honest",1,"63"
"India","okay","honest",4,"63"
"India","amazing","mean",2,"63"
"India","terrible","honest",1,"63"
"India","good","nice",5,"63"
"India","terrible","mean",2,"63"
"India","good","honest",4,"63"
"India","okay","mean",2,"63"
"India","bad","mean",3,"65"
"India","bad","nice",1,"65"
"India","amazing","nice",4,"65"
"India","bad","honest",1,"65"
"India","amazing","mean",1,"65"
"India","good","mean",1,"65"
"India","good","honest",5,"65"
"India","terrible","honest",1,"65"
"India","okay","honest",3,"65"
"India","terrible","mean",4,"65"
"India","amazing","honest",5,"65"
"India","okay","mean",5,"65"
"India","okay","nice",1,"65"
"India","terrible","nice",1,"65"
"India","good","nice",3,"65"
"India","okay","honest",4,"66"
"India","good","nice",3,"66"
"India","terrible","nice",4,"66"
"India","amazing","honest",3,"66"
"India","bad","mean",2,"66"
"India","good","mean",3,"66"
"India","bad","nice",3,"66"
"India","amazing","mean",3,"66"
"India","terrible","mean",3,"66"
"India","terrible","honest",3,"66"
"India","good","honest",3,"66"
"India","bad","honest",3,"66"
"India","amazing","nice",3,"66"
"India","okay","mean",3,"66"
"India","okay","nice",3,"66"
"India","bad","nice",2,"70"
"India","amazing","honest",5,"70"
"India","terrible","mean",4,"70"
"India","good","nice",5,"70"
"India","terrible","nice",5,"70"
"India","okay","nice",4,"70"
"India","okay","honest",5,"70"
"India","terrible","honest",4,"70"
"India","bad","mean",4,"70"
"India","amazing","mean",4,"70"
"India","bad","honest",5,"70"
"India","good","mean",4,"70"
"India","amazing","nice",5,"70"
"India","good","honest",5,"70"
"India","okay","mean",4,"70"
"India","good","nice",2,"72"
"India","okay","honest",3,"72"
"India","amazing","nice",3,"72"
"India","okay","nice",1,"72"
"India","bad","mean",3,"72"
"India","good","mean",5,"72"
"India","bad","honest",1,"72"
"India","terrible","nice",3,"72"
"India","terrible","mean",3,"72"
"India","bad","nice",1,"72"
"India","amazing","mean",3,"72"
"India","good","honest",4,"72"
"India","okay","mean",4,"72"
"India","terrible","honest",1,"72"
"India","amazing","honest",5,"72"
"India","terrible","mean",4,"74"
"India","okay","honest",3,"74"
"India","amazing","nice",4,"74"
"India","terrible","nice",1,"74"
"India","good","nice",4,"74"
"India","amazing","honest",5,"74"
"India","okay","mean",5,"74"
"India","bad","nice",1,"74"
"India","bad","honest",1,"74"
"India","good","mean",1,"74"
"India","bad","mean",5,"74"
"India","good","honest",5,"74"
"India","amazing","mean",1,"74"
"India","terrible","honest",1,"74"
"India","okay","nice",3,"74"
"India","amazing","honest",2,"75"
