subid,goal,trial,item,positivity,utterance,judgment
anon-21,social,21,app,pos,amazing,4
anon-21,social,22,dance,pos,good,3
anon-21,social,23,presentation,pos,okay,3
anon-21,informative,24,review,pos,amazing,5
anon-21,both,25,monologue,pos,bad,3
anon-21,informative,26,cookie,pos,terrible,1
anon-21,social,27,song,pos,terrible,1
anon-21,both,28,cake,pos,amazing,5
anon-21,informative,29,painting,neg,amazing,2
anon-21,no_goal,30,cake,neg,okay,1
anon-21,social,31,monologue,neg,good,1
anon-21,no_goal,32,song,neg,amazing,1
anon-21,social,33,film,neg,amazing,1
anon-21,no_goal,34,painting,pos,okay,3
anon-21,social,35,review,pos,bad,1
anon-21,both,36,recital,pos,terrible,1
anon-21,informative,37,song,pos,good,4
anon-21,social,38,poem,neg,terrible,2
anon-21,both,39,presentation,neg,good,1
anon-21,both,40,song,neg,bad,2
anon-22,no_goal,1,cake,pos,bad,2
anon-22,no_goal,2,poem,neg,terrible,2
anon-22,social,3,poem,neg,amazing,3
anon-22,informative,4,monologue,pos,bad,2
anon-22,no_goal,5,painting,pos,good,4
anon-22,both,6,review,neg,okay,2
anon-22,both,7,monologue,pos,amazing,5
anon-22,both,8,cookie,pos,good,4
anon-22,both,9,app,neg,bad,3
anon-22,both,10,song,neg,terrible,2
anon-22,both,11,solo,neg,good,3
anon-22,social,12,review,pos,bad,1
anon-22,informative,13,app,pos,good,4
anon-22,informative,14,song,pos,okay,3
anon-22,social,15,presentation,neg,bad,1
anon-22,both,16,painting,pos,terrible,1
anon-22,social,17,app,pos,terrible,1
anon-22,social,18,film,pos,good,3
anon-22,social,19,recital,pos,amazing,4
anon-22,informative,20,cake,neg,good,2
anon-22,informative,21,cookie,pos,terrible,1
anon-22,social,22,solo,pos,okay,2
anon-22,social,23,dance,neg,good,2
anon-22,no_goal,24,recital,pos,terrible,1
anon-22,informative,25,presentation,neg,amazing,3
anon-22,informative,26,recital,neg,okay,2
anon-22,no_goal,27,cookie,neg,bad,3
anon-22,both,28,film,neg,amazing,4
anon-22,no_goal,29,monologue,neg,okay,2
anon-22,both,30,poem,pos,okay,3
anon-22,both,31,dance,pos,bad,2
anon-22,no_goal,32,app,neg,amazing,3
