"subid","trial","knowledge","true_state","utterance","goal","goal_prob"
"19",12,"known","bad","terrible","mean",0.25
"19",13,"known","terrible","okay","mean",0.25
"19",14,"known","good","terrible","mean",1
"19",15,"known","bad","amazing","mean",0
"19",16,"known","okay","good","mean",0
"19",17,"known","okay","terrible","mean",1
"19",18,"known","good","okay","mean",0.5
"19",19,"known","good","good","mean",0.275
"19",20,"known","okay","okay","mean",0.275
"19",21,"known","amazing","bad","mean",1
"19",22,"known","terrible","terrible","mean",0.275
"19",23,"known","okay","amazing","mean",0.25
"19",24,"known","amazing","amazing","mean",0
"19",25,"known","amazing","okay","mean",0.3
"20",1,"unknown","amazing","okay","nice",0.3
"20",2,"unknown","okay","bad","nice",0.25
"20",3,"unknown","good","good","nice",0.975
"20",4,"unknown","good","terrible","nice",0.15
"20",5,"unknown","okay","okay","nice",0.725
"20",6,"unknown","amazing","amazing","nice",0.975
"20",7,"unknown","bad","amazing","nice",0.975
"20",8,"unknown","amazing","terrible","nice",0
"20",9,"unknown","bad","okay","nice",0.725
"20",10,"unknown","good","okay","nice",0.35
"20",11,"unknown","amazing","good","nice",0.8
"20",12,"unknown","terrible","terrible","nice",0.025
"20",13,"unknown","okay","terrible","nice",0.1
"20",14,"unknown","amazing","bad","nice",0
"20",15,"unknown","bad","good","nice",0.725
"20",16,"unknown","bad","bad","nice",0.275
"20",17,"unknown","good","amazing","nice",0.975
"20",18,"unknown","bad","terrible","nice",0.3
"20",19,"unknown","terrible","bad","nice",0.5
"20",20,"unknown","okay","good","nice",0.725
"20",21,"unknown","terrible","amazing","nice",0.875
"20",22,"unknown","terrible","good","nice",0.75
"20",23,"unknown","terrible","okay","nice",0.675
"20",24,"unknown","good","bad","nice",0.25
"20",25,"unknown","okay","amazing","nice",0.775
"21",1,"known","good","terrible","nice",0
"21",2,"known","terrible","bad","nice",0.375
"21",3,"known","bad","bad","nice",0.375
"21",4,"known","bad","good","nice",0.925
"21",5,"known","terrible","amazing","nice",0.9
"21",6,"known","okay","okay","nice",0.55
"21",7,"known","bad","okay","nice",0.825
"21",8,"known","amazing","good","nice",0.4
"21",9,"known","good","okay","nice",0.55
"21",10,"known","amazing","okay","nice",0.3
"21",11,"known","bad","amazing","nice",1
"21",12,"known","bad","terrible","nice",0.225
"21",13,"known","okay","terrible","nice",0.05
"21",14,"known","terrible","terrible","nice",0.275
"21",15,"known","good","good","nice",0.75
"21",16,"known","good","amazing","nice",0.825
"21",17,"known","good","bad","nice",0.075
"21",18,"known","okay","good","nice",0.675
"21",19,"known","okay","amazing","nice",0.875
"21",20,"known","amazing","amazing","nice",0.75
"21",21,"known","terrible","okay","nice",0.85
"21",22,"known","amazing","terrible","nice",0.025
"21",23,"known","amazing","bad","nice",0.075
"21",24,"known","terrible","good","nice",0.85
"21",25,"known","okay","bad","nice",0.05
"22",1,"unknown","good","terrible","nice",0.25
"22",2,"unknown","good","amazing","nice",0.7
"22",3,"unknown","amazing","terrible","nice",0.225
"22",4,"unknown","bad","terrible","nice",0.25
"22",5,"unknown","terrible","bad","nice",0.5
"22",6,"unknown","amazing","amazing","nice",0.725
"22",7,"unknown","okay","amazing","nice",0.75
"22",8,"unknown","amazing","bad","nice",0.3
"22",9,"unknown","okay","good","nice",0.675
"22",10,"unknown","terrible","terrible","nice",0.275
"22",11,"unknown","terrible","good","nice",0.75
"22",12,"unknown","bad","okay","nice",0.7
"22",13,"unknown","okay","terrible","nice",0.225
"22",14,"unknown","amazing","okay","nice",0.5
"22",15,"unknown","bad","bad","nice",0.3
"22",16,"unknown","amazing","good","nice",0.675
"22",17,"unknown","okay","okay","nice",0.725
"22",18,"unknown","good","bad","nice",0.25
"22",19,"unknown","bad","amazing","nice",0.7
"22",20,"unknown","bad","good","nice",0.75
"22",21,"unknown","okay","bad","nice",0.3
"22",22,"unknown","good","good","nice",0.7
"22",23,"unknown","terrible","okay","nice",0.7
"22",24,"unknown","good","okay","nice",0.6
"22",25,"unknown","terrible","amazing","nice",0.7
"23",1,"unknown","terrible","okay","honest",0.25
"23",2,"unknown","okay","okay","honest",1
"23",3,"unknown","terrible","amazing","honest",0.05
"23",4,"unknown","bad","terrible","honest",0.975
"23",5,"unknown","amazing","terrible","honest",0.025
"23",6,"unknown","bad","amazing","honest",0.25
"23",7,"unknown","amazing","bad","honest",0.1
"23",8,"unknown","bad","okay","honest",0.675
"23",9,"unknown","terrible","terrible","honest",0.75
"23",10,"unknown","good","amazing","honest",0.75
"23",11,"unknown","amazing","okay","honest",0.3
"23",12,"unknown","good","good","honest",0.975
"23",13,"unknown","bad","good","honest",0.2
"23",14,"unknown","terrible","bad","honest",0.725
"23",15,"unknown","bad","bad","honest",1
"23",16,"unknown","amazing","good","honest",0.75
"23",17,"unknown","amazing","amazing","honest",0.95
"23",18,"unknown","good","okay","honest",0.3
"23",19,"unknown","terrible","good","honest",0.325
"23",20,"unknown","okay","good","honest",0.725
