"subid","goal","true_state","utterance"
"115","both","5","not_amazing"
"115","both","3","not_okay"
"115","both","2","yes_good"
"115","informative","4","not_good"
"115","informative","2","not_okay"
"115","informative","3","yes_bad"
"115","informative","5","not_amazing"
"115","informative","1","yes_okay"
"115","social","2","yes_okay"
"115","social","3","not_okay"
"115","social","4","not_good"
"115","social","5","not_amazing"
"115","social","1","not_terrible"
"123","both","3","not_good"
"123","both","4","not_amazing"
"123","both","1","yes_terrible"
"123","both","5","not_amazing"
"123","both","2","yes_bad"
"123","informative","1","yes_terrible"
"123","informative","3","not_good"
"123","informative","2","not_okay"
"123","informative","4","not_amazing"
"123","informative","5","not_amazing"
"123","social","4","not_amazing"
"123","social","3","not_okay"
"123","social","1","yes_terrible"
"123","social","5","not_amazing"
"123","social","2","yes_bad"
"127","social","1","not_good"
"127","social","2","yes_bad"
"127","social","5","not_amazing"
"127","social","4","not_good"
"127","social","3","not_good"
"127","informative","4","not_good"
"127","informative","2","yes_bad"
"127","informative","5","not_amazing"
"127","informative","3","yes_bad"
"127","informative","1","not_bad"
"127","both","3","not_good"
"127","both","4","not_good"
"127","both","1","not_okay"
"127","both","2","yes_terrible"
"127","both","5","not_amazing"
"130","both","4","not_amazing"
"130","both","2","not_good"
"130","both","5","not_amazing"
"130","both","1","not_okay"
"130","both","3","not_amazing"
"130","social","5","not_amazing"
"130","social","1","not_okay"
"130","social","2","not_good"
"130","social","4","not_amazing"
"130","social","3","not_good"
"130","informative","5","not_amazing"
"130","informative","3","not_okay"
"130","informative","1","not_bad"
"130","informative","2","not_okay"
"130","informative","4","not_good"
"136","both","2","not_good"
"136","both","4","not_amazing"
"136","both","1","yes_bad"
"136","both","5","not_amazing"
"136","both","3","not_good"
"136","informative","4","not_good"
"136","informative","2","yes_amazing"
"136","informative","5","yes_terrible"
"136","informative","1","not_okay"
"136","informative","3","yes_bad"
"136","social","5","not_good"
"136","social","1","yes_terrible"
"136","social","4","not_good"
"136","social","2","yes_bad"
"136","social","3","not_okay"
"137","informative","4","not_good"
"137","informative","1","not_okay"
"137","informative","3","not_okay"
"137","informative","2","yes_terrible"
"137","informative","5","not_amazing"
"137","social","3","not_good"
"137","social","1","yes_terrible"
"137","social","5","not_amazing"
"137","social","2","yes_bad"
"137","social","4","not_good"
"137","both","5","not_amazing"
"137","both","3","not_okay"
"137","both","2","yes_terrible"
"137","both","4","not_good"
"137","both","1","yes_terrible"
"139","informative","5","not_amazing"
"139","informative","3","not_okay"
"139","informative","1","yes_good"
"139","informative","4","not_good"
"139","informative","2","not_bad"
"139","both","4","not_good"
"139","both","5","not_amazing"
"139","both","3","yes_terrible"
"139","both","2","yes_okay"
"139","both","1","not_terrible"
"139","social","2","yes_good"
"139","social","4","not_good"
"139","social","1","not_terrible"
"139","social","5","not_amazing"
"139","social","3","not_okay"
"140","both","1","yes_terrible"
"140","both","4","not_good"
"140","both","2","yes_terrible"
"140","both","5","not_amazing"
"140","both","3","not_okay"
"140","informative","4","not_good"
"140","informative","2","not_bad"
"140","informative","1","not_bad"
"140","informative","3","not_okay"
"140","informative","5","not_amazing"
"140","social","2","not_okay"
"140","social","5","not_amazing"
"140","social","3","not_good"
"140","social","4","not_amazing"
"140","social","1","yes_bad"
"146","both","2","yes_terrible"
"146","both","4","not_good"
"146","both","1","yes_amazing"
"146","both","3","not_good"
"146","both","5","not_amazing"
"146","informative","1","not_terrible"
"146","informative","3","not_okay"
"146","informative","4","not_good"
"146","informative","2","not_bad"
"146","informative","5","not_amazing"
"146","social","4","not_amazing"
"146","social","2","not_good"
"146","social","3","not_good"
"146","social","1","not_good"
"146","social","5","not_amazing"
"147","social","4","not_amazing"
"147","social","5","not_amazing"
"147","social","1","not_okay"
"147","social","3","not_good"
"147","social","2","not_okay"
"147","informative","1","not_okay"
"147","informative","5","not_good"
"147","informative","4","not_okay"
"147","informative","2","not_bad"
"147","informative","3","not_okay"
"147","both","1","not_okay"
"147","both","2","not_okay"
"147","both","4","not_good"
"147","both","5","not_good"
"147","both","3","not_okay"
"148","social","5","not_amazing"
"148","social","2","yes_bad"
"148","social","1","yes_bad"
"148","social","3","not_bad"
"148","social","4","not_good"
"148","both","5","not_amazing"
"148","both","2","not_okay"
"148","both","4","not_amazing"
"148","both","1","not_bad"
"148","both","3","not_okay"
"148","informative","5","not_good"
"148","informative","3","not_bad"
"148","informative","2","not_okay"
"148","informative","4","not_good"
"148","informative","1","not_terrible"
"157","informative","4","not_good"
"157","informative","5","not_amazing"
"157","informative","3","not_okay"
"157","informative","2","not_bad"
"157","informative","1","not_terrible"
"157","social","3","not_good"
"157","social","5","not_amazing"
"157","social","4","not_amazing"
"157","social","1","not_okay"
"157","social","2","not_okay"
